origem;destino;custo_menor_custo;duracao_menor_custo;custo_menor_duracao;duracao_menor_duracao
SBEG;SBCZ;1488;9h 50m;1488;9h 50m
SBEG;SBRB;767;1h 55m;767;1h 55m
SBEG;SBMO;969;6h 50m;999;14h 5m
SBEG;SWCA;NONE;NONE;NONE;NONE
SBEG;SWKO;NONE;NONE;NONE;NONE
SBEG;SWEI;NONE;NONE;NONE;NONE
SBEG;SWHT;NONE;NONE;NONE;NONE
SBEG;SWLB;NONE;NONE;NONE;NONE
SBEG;SBEG;NONE;NONE;NONE;NONE
SBEG;SBMY;NONE;NONE;NONE;NONE
SBEG;SWPI;210;1h;210;1h
SBEG;SBUA;930;1h 5m;930;1h 5m
SBEG;SBTT;551;15m;551;15m
SBEG;SBTF;NONE;NONE;NONE;NONE
SBEG;SBMQ;507;13h 40m;507;13h 40m
SBEG;SNBR;747;6h;747;6h
SBEG;SBFE;NONE;NONE;NONE;NONE
SBEG;SBIL;902;8h 35m;902;8h 35m
SBEG;SBLE;868;22h 15m;868;22h 15m
SBEG;SBUF;NONE;NONE;NONE;NONE
SBEG;SBPS;1034;34h 40m;1034;34h 40m
SBEG;SBSV;823;6h 35m;823;6h 35m
SBEG;SNTF;NONE;NONE;NONE;NONE
SBEG;SBQV;691;8h 25m;691;8h 25m
SBEG;SBFZ;709;3h 20m;709;3h 20m
SBEG;SBJU;659;9h 20m;991;6h 30m
SBEG;SBBR;760;6h 25m;760;6h 25m
SBEG;SBVT;918;6h 10m;918;6h 10m
SBEG;SBCN;1127;11h 10m;1127;11h 10m
SBEG;SBGO;408;9h 35m;408;9h 35m
SBEG;SBIZ;824;16h 10m;824;16h 10m
SBEG;SBSL;665;6h 20m;665;6h 20m
SBEG;SBBH;NONE;NONE;NONE;NONE
SBEG;SBCF;799;23h 5m;824;6h 5m
SBEG;SBZM;NONE;NONE;NONE;NONE
SBEG;SBGV;1233;9h;1233;9h
SBEG;SBMK;1106;9h 30m;1106;9h 30m
SBEG;SNPD;NONE;NONE;NONE;NONE
SBEG;SBIP;1033;8h 45m;1033;8h 45m
SBEG;SBUR;1643;11h 30m;1643;11h 30m
SBEG;SBUL;392;9h 35m;392;9h 35m
SBEG;SBDB;NONE;NONE;NONE;NONE
SBEG;SBCG;836;40h 10m;836;40h 10m
SBEG;SBCR;NONE;NONE;NONE;NONE
SBEG;SBDO;NONE;NONE;NONE;NONE
SBEG;SBTG;NONE;NONE;NONE;NONE
SBEG;SBAT;633;22h 10m;633;22h 10m
SBEG;SWRD;1914;39h;1914;39h
SBEG;SWSI;2100;9h 15m;2100;9h 15m
SBEG;SBCY;993;8h 35m;993;8h 35m
SBEG;SBHT;560;2h 50m;560;2h 50m
SBEG;SBBE;379;2h 10m;379;2h 10m
SBEG;SBIH;340;1h 15m;340;1h 15m
SBEG;SBMA;999;5h 35m;999;5h 35m
SBEG;SBTB;NONE;NONE;NONE;NONE
SBEG;SBCJ;999;6h 45m;999;6h 45m
SBEG;SBSN;543;1h 5m;543;1h 5m
SBEG;SBTU;NONE;NONE;NONE;NONE
SBEG;SBJP;1110;6h 5m;1110;6h 5m
SBEG;SBKG;1106;20h 30m;1106;20h 30m
SBEG;SBFN;1412;11h;1412;11h
SBEG;SBPL;926;10h;926;10h
SBEG;SBRF;600;11h 35m;600;11h 35m
SBEG;SBPB;NONE;NONE;NONE;NONE
SBEG;SBTE;695;6h 55m;695;6h 55m
SBEG;SBCA;887;6h 50m;887;6h 50m
SBEG;SBCT;731;6h;731;6h
SBEG;SBFI;1106;6h 45m;1106;6h 45m
SBEG;SBLO;1103;39h 25m;1103;39h 25m
SBEG;SBMG;1106;6h 10m;1106;6h 10m
SBEG;SBCB;2100;30h 40m;2100;30h 40m
SBEG;SBCP;NONE;NONE;NONE;NONE
SBEG;SBME;NONE;NONE;NONE;NONE
SBEG;SBGL;800;4h 5m;800;4h 5m
SBEG;SBNT;NONE;NONE;NONE;NONE
SBEG;SBSG;818;26h 40m;818;26h 40m
SBEG;SSKW;727;22h 10m;727;22h 10m
SBEG;SBPV;568; 1h 20m;488;120
SBEG;SBVH;1877;11h 25m;1877;11h 25m
SBEG;SBBV;521;1h 25m;521;1h 25m
SBEG;SBCX;1169;8h 45m;1169;8h 45m
SBEG;SBPF;1045;23h 50m;1045;23h 50m
SBEG;SBPK;1289;9h 5m;1289;9h 5m
SBEG;SBPA;581;14h 20m;581;14h 20m
SBEG;SBSM;971;13h 30m;971;13h 30m
SBEG;SBCH;791;7h 30m;791;7h 30m
SBEG;SBFL;427;12h 20m;427;12h 20m
SBEG;SBCM;NONE;NONE;NONE;NONE
SBEG;SBJV;353;7h 15m;353;7h 15m
SBEG;SBNF;966;6h;966;6h
SBEG;SBAR;881;9h 50m;881;9h 50m
SBEG;SBAU;1320;7h 35m;1320;7h 35m
SBEG;SBAQ;NONE;NONE;NONE;NONE
