origem;destino;precos;duracoes
SBEG;SNTF;[775, 850];['11h 5m', '11h 5m']
SBEG;SBZM;[1044, 1109, 1169, 1234];['10h 10m', '10h 10m', '7h', '7h']
SBEG;SBNT;[579];['6h 25m']
SBEG;SBAE;[568, 633, 568, 568, 568];['14h 10m', '14h 10m', '14h 10m', '14h 10m', '14h 10m']
SBSV;SNTF;[1754, 1839, 2100, 2185];['8h 35m', '8h 35m', '4h 5m', '4h 5m']
SBSV;SBZM;[826, 838, 891, 913];['7h 40m', '14h 50m', '7h 40m', '14h 50m']
SBSV;SBDB;[831, 906];['8h 30m', '8h 30m']
SBSV;SBDO;[1024, 1099, 2100, 2185];['7h 30m', '7h 30m', '9h 35m', '9h 35m']
SBSV;SBTG;[988, 1063, 1087, 1162];['7h 30m', '7h 30m', '13h 10m', '13h 10m']
SBSV;SBNT;[266];['1h 30m']
SBSV;SBJI;[1380, 1455, 1518, 1593];['10h 45m', '10h 45m', '18h 55m', '18h 55m']
SBSV;SBAE;[509, 574, 599, 664];['12h 35m', '5h 15m', '12h 35m', '5h 15m']
SBFZ;SNTF;[783, 858, 2100, 2185];['18h 25m', '18h 25m', '7h', '7h']
SBFZ;SBZM;[814, 894, 895, 975];['16h 15m', '16h 15m', '6h 35m', '6h 35m']
SBFZ;SBDB;[810, 885, 2100, 2185];['8h 25m', '8h 25m', '20h 5m', '20h 5m']
SBFZ;SBDO;[1045, 1120, 1149, 1224];['7h 25m', '7h 25m', '6h 25m', '6h 25m']
SBFZ;SBTG;[1053, 1128, 1158, 1233];['7h 25m', '7h 25m', '14h 45m', '14h 45m']
SBFZ;SBNT;[94];['0h 55m']
SBFZ;SBJI;[1546, 1621, 1701, 1776];['11h 35m', '11h 35m', '19h 50m', '19h 50m']
SBFZ;SBAE;[546, 611, 546, 546, 546];['12h 15m', '12h 15m', '12h 15m', '12h 15m', '12h 15m']
SBBR;SNTF;[893, 973];['7h 10m', '7h 10m']
SBBR;SBZM;[523, 598, 614, 694];['13h 25m', '13h 25m', '8h 45m', '8h 45m']
SBBR;SBDO;[807, 887, 964, 1044];['4h 35m', '4h 35m', '8h 35m', '8h 35m']
SBBR;SBTG;[722, 797];['4h 35m', '4h 35m']
SBBR;SBNT;[334];['2h 40m']
SBBR;SBJI;[1213, 1293];['8h 10m', '8h 10m']
SBBR;SBAE;[378, 378, 378, 448];['8h 55m', '17h 50m', '17h 50m', '8h 55m']
SBVT;SNTF;[805, 890];['3h 30m', '3h 30m']
