origem;destino;preco;duracao
SBEG;SBCZ;[1319, 1384];'[''8h 50m'', ''8h 50m'']'
SBEG;SBRB;[890, 909, 1012, 1097];'[''7h 55m'', ''7h 55m'', ''13h 5m'', ''13h 5m'']'
SBEG;SBMO;[1178, 1263, 1291, 1471];'[''18h 30m'', ''18h 30m'', ''8h 5m'', ''8h 5m'']'
SBEG;SWEI;[940, 1090];'[''3h 30m'', ''3h 30m'']'
SBEG;SWPI;[210, 620];'[''1h'', ''1h'']'
SBEG;SBTT;[630, 710];'[''15m'', ''15m'']'
SBEG;SBTF;[580, 710];'[''1h 20m'', ''1h 20m'']'
SBEG;SBMQ;[503, 568, 1481, 1648];'[''3h 55m'', ''3h 55m'', ''7h 15m'', ''7h 15m'']'
SBEG;SNBR;[1224, 1292, 1365, 1430];'[''19h 5m'', ''19h 5m'', ''23h 50m'', ''23h 50m'']'
SBEG;SBIL;[720, 803, 902, 997];'[''22h 30m'', ''22h 30m'', ''8h 45m'', ''8h 45m'']'
SBEG;SBPS;[872, 1067, 872, 872, 872];'[''5h 30m'', ''5h 30m'', ''7h 15m'', ''12h 50m'', ''17h 40m'']'
SBEG;SBQV;[1419, 1424, 1541, 1697];'[''11h'', ''11h'', ''7h 40m'', ''7h 40m'']'
SBEG;SBFZ;[669, 896, 716, 734];'[''6h 30m'', ''3h 20m'', ''11h 45m'', ''6h 30m'']'
SBEG;SBJU;[724, 757, 927, 992];'[''18h 40m'', ''18h 40m'', ''11h 5m'', ''11h 5m'']'
SBEG;SBBR;[604, 604, 669, 669];'[''2h 55m'', ''2h 55m'', ''3h'', ''2h 55m'', ''2h 55m'', ''3h'']'
SBEG;SBVT;[727, 727, 787, 792];'[''6h 20m'', ''11h 40m'', ''6h 15m'', ''11h 50m'']'
SBEG;SBCN;[993, 1058];'[''10h 45m'', ''10h 45m'']'
SBEG;SBGO;[481, 481, 546, 546];'[''9h 35m'', ''16h 20m'', ''9h 35m'', ''16h 20m'']'
SBEG;SBIZ;[1160, 1245];'[''6h 25m'', ''6h 25m'']'
SBEG;SBSL;[537, 602, 699, 705];'[''12h 25m'', ''12h 25m'', ''10h 35m'', ''6h 5m'']'
SBEG;SBCF;[812, 839, 897, 902];'[''5h 15m'', ''7h 30m'', ''5h 50m'', ''5h 15m'']'
SBEG;SBGV;[883, 963];'[''9h 15m'', ''9h 15m'']'
SBEG;SBMK;[1091, 1096, 1156, 1176];'[''9h 30m'', ''9h 20m'', ''9h 30m'', ''9h 20m'']'
