origem;destino;estado origem;estado destino
SBEG;SWCA;AM;AM
SBEG;SWKO;AM;AM
SBEG;SWHT;AM;AM
SBEG;SWLB;AM;AM
SBEG;SBEG;AM;AM
SBEG;SBMY;AM;AM
SBEG;SBFE;AM;BA
SBEG;SBLE;AM;BA
SBEG;SBUF;AM;BA
SBEG;SNTF;AM;BA
SBEG;SBBH;AM;MG
SBEG;SBZM;AM;MG
SBEG;SNPD;AM;MG
SBEG;SBDB;AM;MS
SBEG;SBDO;AM;MS
SBEG;SBTG;AM;MS
SBEG;SBTB;AM;PA
SBEG;SBTU;AM;PA
SBEG;SBPB;AM;PI
SBEG;SBCP;AM;RJ
SBEG;SBME;AM;RJ
SBEG;SBNT;AM;CE
SBEG;SBCM;AM;SC
SBEG;SBAQ;AM;SP
SBEG;SBAE;AM;SP
SBEG;SBSJ;AM;SP
SBSV;SWKO;BA;AM
SBSV;SWEI;BA;AM
SBSV;SWPI;BA;AM
SBSV;SBUA;BA;AM
SBSV;SBTF;BA;AM
SBSV;SBFE;BA;BA
SBSV;SBLE;BA;BA
SBSV;SBUF;BA;BA
SBSV;SBSV;BA;BA
SBSV;SNTF;BA;BA
SBSV;SNVB;BA;BA
SBSV;SBAX;BA;MG
SBSV;SBBH;BA;MG
SBSV;SBZM;BA;MG
SBSV;SNPD;BA;MG
SBSV;SBDB;BA;MS
SBSV;SBDO;BA;MS
SBSV;SBTG;BA;MS
SBSV;SBIH;BA;PA
SBSV;SBTB;BA;PA
SBSV;SBPB;BA;PI
SBSV;SBME;BA;RJ
SBSV;SBNT;BA;CE
SBSV;SBJI;BA;RO
SBSV;SBCM;BA;SC
SBSV;SBAQ;BA;SP
SBSV;SBAE;BA;SP
SBSV;SWGN;BA;TO
SBFZ;SWEI;CE;AM
SBFZ;SBUA;CE;AM
SBFZ;SBTF;CE;AM
SBFZ;SBUF;CE;BA
SBFZ;SNTF;CE;BA
SBFZ;SBFZ;CE;CE
SBFZ;SBAX;CE;MG
SBFZ;SBBH;CE;MG
SBFZ;SBZM;CE;MG
SBFZ;SNPD;CE;MG
SBFZ;SBDB;CE;MS
SBFZ;SBDO;CE;MS
SBFZ;SBTG;CE;MS
SBFZ;SBIH;CE;PA
SBFZ;SBPB;CE;PI
SBFZ;SBME;CE;RJ
SBFZ;SBNT;CE;CE
SBFZ;SBJI;CE;RO
SBFZ;SBCM;CE;SC
SBFZ;SBAQ;CE;SP
SBFZ;SBAE;CE;SP
SBBR;SWKO;DF;AM
SBBR;SWPI;DF;AM
SBBR;SBUA;DF;AM
SBBR;SBTF;DF;AM
SBBR;SBFE;DF;BA
SBBR;SBLE;DF;BA
SBBR;SBUF;DF;BA
SBBR;SNTF;DF;BA
SBBR;SBBR;DF;DF
SBBR;SBCI;DF;MA
SBBR;SBAX;DF;MG
SBBR;SBBH;DF;MG
SBBR;SNDV;DF;MG
SBBR;SBZM;DF;MG
SBBR;SNPD;DF;MG
SBBR;SBDB;DF;MS
SBBR;SBDO;DF;MS
SBBR;SBTG;DF;MS
SBBR;SBMD;DF;PA
SBBR;SBIH;DF;PA
SBBR;SBTB;DF;PA
SBBR;SDOW;DF;PA
SBBR;SNDC;DF;PA
SBBR;SBPB;DF;PI
SBBR;SBME;DF;RJ
SBBR;SBNT;DF;CE
SBBR;SBJI;DF;RO
SBBR;SBCM;DF;SC
SBBR;SBAQ;DF;SP
SBBR;SBAE;DF;SP
SBBR;SWGN;DF;TO
SBVT;SWKO;ES;AM
SBVT;SWPI;ES;AM
SBVT;SBUA;ES;AM
SBVT;SBTF;ES;AM
SBVT;SBFE;ES;BA
SBVT;SBLE;ES;BA
SBVT;SBUF;ES;BA
SBVT;SNTF;ES;BA
SBVT;SBVT;ES;ES
SBVT;SBAX;ES;MG
SBVT;SBBH;ES;MG
SBVT;SBZM;ES;MG
SBVT;SNPD;ES;MG
SBVT;SBDB;ES;MS
SBVT;SBDO;ES;MS
SBVT;SBTG;ES;MS
SBVT;SBIH;ES;PA
SBVT;SBTB;ES;PA
SBVT;SBME;ES;RJ
SBVT;SBNT;ES;CE
SBVT;SBJI;ES;RO
SBVT;SBCM;ES;SC
SBVT;SBAQ;ES;SP
SBVT;SBAE;ES;SP
SBCF;SWKO;MG;AM
SBCF;SWEI;MG;AM
SBCF;SWPI;MG;AM
SBCF;SBUA;MG;AM
SBCF;SBTF;MG;AM
SBCF;SBFE;MG;BA
SBCF;SBUF;MG;BA
SBCF;SNTF;MG;BA
SBCF;SBAX;MG;MG
SBCF;SBCF;MG;MG
SBCF;SBZM;MG;MG
SBCF;SNPD;MG;MG
SBCF;SBDB;MG;MS
SBCF;SBDO;MG;MS
SBCF;SBTG;MG;MS
SBCF;SBIH;MG;PA
SBCF;SBTB;MG;PA
SBCF;SBTU;MG;PA
SBCF;SBPB;MG;PI
SBCF;SBME;MG;RJ
SBCF;SBNT;MG;CE
SBCF;SBJI;MG;RO
SBCF;SBCM;MG;SC
SBCF;SBAQ;MG;SP
SBCF;SBAE;MG;SP
SBCG;SWKO;MS;AM
SBCG;SWPI;MS;AM
SBCG;SBTF;MS;AM
SBCG;SBFE;MS;BA
SBCG;SBLE;MS;BA
SBCG;SBUF;MS;BA
SBCG;SNTF;MS;BA
SBCG;SBCN;MS;GO
SBCG;SBAX;MS;MG
SBCG;SBBH;MS;MG
SBCG;SBZM;MS;MG
SBCG;SNPD;MS;MG
SBCG;SBCG;MS;MS
SBCG;SBDO;MS;MS
SBCG;SBTG;MS;MS
SBCG;SBIH;MS;PA
SBCG;SBPB;MS;PI
SBCG;SBME;MS;RJ
SBCG;SBNT;MS;CE
SBCG;SBJI;MS;RO
SBCG;SBCM;MS;SC
SBCG;SBAQ;MS;SP
SBCG;SBAE;MS;SP
SBCG;SWGN;MS;TO
SBCY;SWPI;MT;AM
SBCY;SBTF;MT;AM
SBCY;SBFE;MT;BA
SBCY;SBUF;MT;BA
SBCY;SNTF;MT;BA
SBCY;SBAX;MT;MG
SBCY;SBBH;MT;MG
SBCY;SBZM;MT;MG
SBCY;SNPD;MT;MG
SBCY;SBCR;MT;MS
SBCY;SBDO;MT;MS
SBCY;SBTG;MT;MS
SBCY;SBCY;MT;MT
SBCY;SBIH;MT;PA
SBCY;SBTU;MT;PA
SBCY;SBPB;MT;PI
SBCY;SBME;MT;RJ
SBCY;SBNT;MT;CE
SBCY;SBJI;MT;RO
SBCY;SBCM;MT;SC
SBCY;SBAQ;MT;SP
SBCY;SBAE;MT;SP
SBBE;SWKO;PA;AM
SBBE;SWEI;PA;AM
SBBE;SWPI;PA;AM
SBBE;SBUA;PA;AM
SBBE;SBTF;PA;AM
SBBE;SBFE;PA;BA
SBBE;SBUF;PA;BA
SBBE;SNTF;PA;BA
SBBE;SWLC;PA;GO
SBBE;SBAX;PA;MG
SBBE;SBBH;PA;MG
SBBE;SBZM;PA;MG
SBBE;SNPD;PA;MG
SBBE;SBDB;PA;MS
SBBE;SBCR;PA;MS
SBBE;SBDO;PA;MS
SBBE;SBTG;PA;MS
SBBE;SBMD;PA;PA
