iata;icao;aero;cidade
AAX;SBAX;Romeu Zema Airport;Araxa
AFL;SBAT;Piloto Osvaldo Marques Dias Airport;Alta Floresta
AIR;SWRP;Aripuanã Airport;Aripuana
AJU;SBAR;Santa Maria Airport;Aracaju
APQ;SNAL;Arapiraca Airport;Arapiraca
AQA;SBAQ;Araraquara Airport;Araracuara
ARU;SBAU;Araçatuba Airport;Aracatuba
ATM;SBHT;Altamira Airport;Altamira
AUX;SWGN;Araguaína Airport;Araguaina
BAT;SBBT;Chafei Amsei Airport;Barretos
BAU;SBBU;Bauru Airport;Bauru
BAZ;SWBC;Barcelos Airport;Barcelos
BEL;SBBE;Val de Cans/Júlio Cezar Ribeiro International Airport;Belem
BFH;SBBI;Bacacheri Airport;Curitiba
BGX;SBBG;Comandante Gustavo Kraemer Airport;Bage
BJP;SBBP;Estadual Arthur Siqueira Airport;Braganca Paulista
BNU;SSBL;Blumenau Airport;BLUMENAU
BPS;SBPS;Porto Seguro Airport;Porto Seguro
BRA;SNBR;Barreiras Airport;Barreiras
BSB;SBBR;Presidente Juscelino Kubistschek International Airport;Brasilia
BVB;SBBV;Atlas Brasil Cantanhede Airport;Boa Vista
BVH;SBVH;Brigadeiro Camarão Airport;Vilhena
BVS;SNVS;Breves Airport;Breves
BYO;SBDB;Bonito Airport;Bointo
BZC;SBBZ;Umberto Modiano Airport;Buzios
CAC;SBCA;Cascavel Airport;Cascavel
CAF;SWCA;Carauari Airport;Carauari
CAU;SNRU;Caruaru Airport;Caruaru
CAW;SBCP;Bartolomeu Lisandro Airport;Campos
CCI;SSCK;Concórdia Airport;Concordia
CCM;SBCM;Diomício Freitas Airport;Criciuma
CCX;SWKC;Cáceres Airport;Caceres
CDJ;SBAA;Conceição do Araguaia Airport;Conceicao Do Araguaia
CFB;SBCB;Cabo Frio Airport;Cabo Frio
CFC;SBCD;Caçador Airport;Cacador
CFO;SJHG;Confresa Airport;Confresa
CGB;SBCY;Marechal Rondon Airport;Cuiaba
CGH;SBSP;Congonhas – Deputado Freitas Nobre Airport;Sao Paulo
CGR;SBCG;Campo Grande Airport;Campo Grande
CIZ;SWKO;Coari Airport;Coari
CKS;SBCJ;Carajás Airport;Parauapebas
CLN;SBCI;Brig. Lysias Augusto Rodrigues Airport;Carolina
CLV;SBCN;Nelson Ribeiro Guimarães Airport;Caldas Novas
CMG;SBCR;Corumbá International Airport;Corumba
CMP;SNKE;Santana do Araguaia Airport;Santana do Araguaia
CNF;SBCF;Tancredo Neves International Airport;Belo Horizonte
CPQ;SDAM;Amarais Airport;Campinas
CPV;SBKG;Presidente João Suassuna Airport;Campina Grande
CRQ;SBCV;Caravelas Airport;Caravelas
CWB;SBCT;Afonso Pena Airport;Curitiba
CXJ;SBCX;Hugo Cantergiani Regional Airport;Caxias Do Sul
CZS;SBCZ;Cruzeiro do Sul Airport;Cruzeiro do Sul
DIQ;SNDV;Brigadeiro Cabral Airport;Divinopolis
DMT;SWDM;Diamantino Airport;Diamantino
DOU;SBDO;Dourados Airport;Dourados
DTI;SNDT;Diamantina Airport;Diamantina
ERM;SSER;Erechim Airport;Erechim
ERN;SWEI;Eirunepé Airport;Eirunepe
FBA;SWOB;Fonte Boa Airport;Fonte Boa
FBE;SSFB;Francisco Beltrão Airport;Francisco Beltrao
FEN;SBFN;Fernando de Noronha Airport;Fernando Do Noronha
FLB;SNQG;Cangapara Airport;Floriano
FLN;SBFL;Hercílio Luz International Airport;Florianopolis
FOR;SBFZ;Pinto Martins International Airport;Fortaleza
FRC;SIMK;Franca Airport;Franca
GEL;SBNM;Santo Ângelo Airport;Santo Angelo
GIG;SBGL;Rio Galeão – Tom Jobim International Airport;Rio De Janeiro
GNM;SNGI;Guanambi Airport;Guanambi
GPB;SBGU;Tancredo Thomas de Faria Airport;Guarapuava
GRP;SWGI;Gurupi Airport;Gurupi
GRU;SBGR;Guarulhos – Governador André Franco Montoro International Airport;Sao Paulo
GUZ;SNGA;Guarapari Airport;Guarapari
GVR;SBGV;Coronel Altino Machado de Oliveira Airport;Governador Valadares
GYN;SBGO;Santa Genoveva Airport;Goiania
HUW;SWHT;Humaitá Airport;Humaita
IGU;SBFI;Cataratas International Airport;Foz Do Iguacu
IMP;SBIZ;Prefeito Renato Moreira Airport;Imperatriz
IOS;SBIL;Bahia – Jorge Amado Airport;Ilheus
IPN;SBIP;Usiminas Airport;Ipatinga
IRZ;SWTP;Tapuruquara Airport;Santa Isabel do Rio Negro
ITB;SBIH;Itaituba Airport;Itaituba
ITP;SDUN;Itaperuna Airport;Itaperuna
IZA;SBZM;Zona da Mata Regional Airport;Juiz de Fora
JCB;SSJA;Santa Terezinha Airport;Joacaba
JDF;SBJF;Francisco de Assis Airport;Juiz De Fora
JDO;SBJU;Orlando Bezerra de Menezes Airport;Juazeiro Do Norte
JIA;SWJN;Juína Airport;Juina
JJD;SSVV;Comandante Ariston Pessoa Airport;Jericoacoara
JOI;SBJV;Lauro Carneiro de Loyola Airport;Joinville
JPA;SBJP;Presidente Castro Pinto International Airport;Joao Pessoa
JPR;SBJI;Ji-Paraná Airport;Ji-Paraná
JRN;SWJU;Juruena Airport;Juruena
JTC;SBAE;Bauru – Arealva Airport;Bauru
JUA;SIZX;Inácio Luís do Nascimento Airport;Juara
LAZ;SBLP;Bom Jesus da Lapa Airport;Bom Jesus Da Lapa
LBR;SWLB;Lábrea Airport;Labrea
LDB;SBLO;Governador José Richa Airport;Londrina
LEC;SBLE;Coronel Horácio de Mattos Airport;Lençóis
LIP;SBLN;Lins Airport;Lins
LVR;SWFE;Fazenda Colen Airport;Lucas do Rio Verde
MAB;SBMA;João Correa da Rocha Airport;Maraba
MAO;SBEG;Eduardo Gomes International Airport;Manaus
MBZ;SWMW;Maués Airport;Maues
MCP;SBMQ;Alberto Alcolumbre Airport;Macapa
MCZ;SBMO;Zumbi dos Palmares Airport;Maceio
MEA;SBME;Macaé Airport;Macaé
MGF;SBMG;Regional de Maringá – Sílvio Nane Junior Airport;Maringa
MII;SBML;Frank Miloye Milenkowichi–Marília State Airport;Marília
MNX;SBMY;Manicoré Airport;Manicore
MOC;SBMK;Mário Ribeiro Airport;Montes Claros
MQH;SBMC;Minaçu Airport;Minacu
MVF;SBMS;Dix-Sept Rosado Airport;Mocord
MVS;SNMU;Mucuri Airport;Mucuri
NAT;SBSG;Governador Aluízio Alves International Airport;Natal
NVP;SWNA;Novo Aripuanã Airport;Novo Aripuana
NVT;SBNF;Ministro Victor Konder International Airport;Navegantes
OAL;SSKW;Cacoal Airport;Cacoal
